"InsetL [um]","ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
100,300,125,1.49452495695611,3.17652313027372
100,300,125.625,1.49556159324037,3.24024577890875
100,300,126.25,1.4965588888035,3.30375987457769
100,300,126.875,1.49751921792791,3.36706874590443
100,300,127.5,1.49844476339551,3.43017566925776
100,300,128.125,1.49933753549831,3.49308386897171
100,300,128.75,1.5001993888269,3.55579651768261
100,300,129.375,1.50103203713379,3.61831673676243
100,300,130,1.5018370665245,3.68064759683145
100,300,130.625,1.5026159471917,3.74279211833569
100,300,131.25,1.50337004387687,3.80475327217712
100,300,131.875,1.50410062521749,3.86653398038607
100,300,132.5,1.50480887211591,3.92813711682743
100,300,133.125,1.50549588524745,3.98956550793303
100,300,133.75,1.50616269180904,4.05082193345406
100,300,134.375,1.50681025159681,4.11190912722805
100,300,135,1.50743946248905,4.1728297779561
100,300,135.625,1.50805116540148,4.23358652998634
100,300,136.25,1.50864614877303,4.29418198410047
100,300,136.875,1.50922515263338,4.35461869830056
100,300,137.5,1.50978887229698,4.41489918859386
100,300,138.125,1.51033796172301,4.47502592977355
100,300,138.75,1.51087303657601,4.53500135619385
100,300,139.375,1.51139467701796,4.59482786253805
100,300,140,1.51190343025871,4.65450780457834
100,300,140.625,1.51239981288907,4.71404349992643
100,300,141.25,1.5128843130177,4.77343722877427
100,300,141.875,1.51335739223091,4.83269123462403
100,300,142.5,1.51381948739221,4.89180772500706
100,300,143.125,1.51427101229675,4.95078887219121
100,300,143.75,1.51471235919411,5.00963681387632
100,300,144.375,1.51514390019151,5.06835365387762
100,300,145,1.51556598854835,5.12694146279682
100,300,145.625,1.5159789598716,5.18540227868086
100,300,146.25,1.51638313322102,5.24373810766817
100,300,146.875,1.51677881213191,5.30195092462257
100,300,147.5,1.51716628556254,5.36004267375464
100,300,148.125,1.51754582877268,5.41801526923085
100,300,148.75,1.51791770413895,5.47587059577028
100,300,149.375,1.51828216191237,5.53361050922931
100,300,150,1.51863944092265,5.59123683717416
100,300,150.625,1.51898976923374,5.64875137944161
100,300,151.25,1.51933336475442,5.70615590868796
100,300,151.875,1.51967043580751,5.76345217092642
100,300,152.5,1.52000118166099,5.82064188605313
100,300,153.125,1.52032579302394,5.87772674836199
100,300,153.75,1.52064445250997,5.93470842704847
100,300,154.375,1.52095733507068,5.99158856670264
100,300,155,1.52126460840135,6.04836878779159
100,300,155.625,1.52156643332086,6.10505068713144
100,300,156.25,1.52186296412789,6.16163583834915
100,300,156.875,1.52215434893494,6.2181257923344
100,300,157.5,1.52244072998188,6.27452207768161
100,300,158.125,1.52272224393046,6.33082620112239
100,300,158.75,1.52299902214111,6.38703964794873
100,300,159.375,1.52327119093326,6.44316388242683
100,300,160,1.5235388718303,6.49920034820213
100,300,160.625,1.52380218179033,6.55515046869543
100,300,161.25,1.5240612334235,6.61101564749055
100,300,161.875,1.52431613519696,6.66679726871351
100,300,162.5,1.52456699162824,6.72249669740355
100,300,163.125,1.52481390346766,6.77811527987615
100,300,163.75,1.52505696787082,6.83365434407821
100,300,164.375,1.52529627856136,6.88911519993554
100,300,165,1.52553192598503,6.94449913969299
100,300,165.625,1.52576399745538,6.99980743824713
100,300,166.25,1.52599257729159,7.05504135347193
100,300,166.875,1.52621774694914,7.11020212653744
100,300,167.5,1.52643958514346,7.1652909822216
100,300,168.125,1.52665816796728,7.22030912921551
100,300,168.75,1.52687356900179,7.27525776042218
100,300,169.375,1.52708585942224,7.33013805324889
100,300,170,1.52729510809814,7.38495116989347
100,300,170.625,1.52750138168839,7.43969825762442
100,300,171.25,1.5277047447317,7.49438044905526
100,300,171.875,1.5279052597326,7.54899886241302
100,300,172.5,1.52810298724312,7.60355460180115
100,300,173.125,1.52829798594062,7.65804875745694
100,300,173.75,1.52849031270182,7.71248240600359
100,300,174.375,1.52868002267328,7.76685661069697
100,300,175,1.52886716933858,7.8211724216674
100,300,175.625,1.52905180458235,7.87543087615628
100,300,176.25,1.52923397875125,7.929632998748
100,300,176.875,1.52941374071223,7.98377980159696
100,300,177.5,1.52959113790806,8.03787228465
100,300,178.125,1.52976621641032,8.09191143586429
100,300,178.75,1.52993902097008,8.14589823142079
100,300,179.375,1.53010959506622,8.19983363593331
100,300,180,1.53027798095164,8.25371860265343
100,300,180.625,1.5304442196975,8.30755407367123
100,300,181.25,1.5306083512354,8.361340980112
100,300,181.875,1.53077041439782,8.41508024232895
100,300,182.5,1.53093044695682,8.46877277009222
100,300,183.125,1.53108848566102,8.52241946277391
100,300,183.75,1.53124456627112,8.5760212095296
100,300,184.375,1.53139872359377,8.62957888947622
100,300,185,1.5315509915142,8.68309337186638
100,300,185.625,1.53170140302736,8.73656551625927
100,300,186.25,1.53184999026787,8.7899961726883
100,300,186.875,1.53199678453866,8.84338618182532
100,300,187.5,1.53214181633855,8.89673637514175
100,300,188.125,1.53228511538862,8.9500475750665
100,300,188.75,1.53242671065759,9.00332059514091
100,300,189.375,1.53256663038616,9.05655624017062
100,300,190,1.53270490211043,9.10975530637456
100,300,190.625,1.53284155268435,9.16291858153107
100,300,191.25,1.53297660830132,9.21604684512124
100,300,191.875,1.53311009451498,9.2691408684695
100,300,192.5,1.53324203625916,9.32220141488152
100,300,193.125,1.53337245786712,9.37522923977958
100,300,193.75,1.53350138309,9.42822509083526
100,300,194.375,1.53362883511463,9.48118970809976
100,300,195,1.53375483658067,9.53412382413165
100,300,195.625,1.53387940959707,9.5870281641224
100,300,196.25,1.53400257575797,9.63990344601936
100,300,196.875,1.53412435615801,9.69275038064663
100,300,197.5,1.53424477140708,9.74556967182364
100,300,198.125,1.5343638416445,9.79836201648149
100,300,198.75,1.53448158655278,9.85112810477723
100,300,199.375,1.53459802537079,9.903868620206
100,300,200,1.53471317690654,9.95658423971113
100,300,200.625,1.53482705954945,10.0092756337922
100,300,201.25,1.53493969128226,10.0619434666114
100,300,201.875,1.53505108969244,10.1145883960972
100,300,202.5,1.53516127198329,10.1672110740475
100,300,203.125,1.53527025498463,10.2198121462294
100,300,203.75,1.53537805516305,10.2723922524783
100,300,204.375,1.53548468863198,10.3249520267948
100,300,205,1.53559017116125,10.3774920974397
100,300,205.625,1.5356945181864,10.4300130870279
100,300,206.25,1.53579774481774,10.4825156126199
100,300,206.875,1.535899865849,10.5350002858125
100,300,207.5,1.53600089576576,10.587467712827
100,300,208.125,1.53610084875361,10.6399184945966
100,300,208.75,1.536199738706,10.6923532268522
100,300,209.375,1.5362975792319,10.7447725002061
100,300,210,1.53639438366312,10.7971769002348
100,300,210.625,1.53649016506154,10.8495670075608
100,300,211.25,1.53658493622594,10.9019433979314
100,300,211.875,1.53667870969876,10.9543066422983
100,300,212.5,1.53677149777255,11.0066573068938
100,300,213.125,1.53686331249628,11.0589959533075
100,300,213.75,1.53695416568144,11.1113231385601
100,300,214.375,1.5370440689079,11.1636394151771
100,300,215,1.53713303352968,11.2159453312609
100,300,215.625,1.53722107068047,11.2682414305612
100,300,216.25,1.53730819127904,11.3205282525454
100,300,216.875,1.53739440603441,11.3728063324664
100,300,217.5,1.53747972545096,11.4250762014304
100,300,218.125,1.53756415983333,11.4773383864631
100,300,218.75,1.53764771929115,11.5295934105747
100,300,219.375,1.53773041374371,11.5818417928241
100,300,220,1.53781225292444,11.6340840483819
100,300,220.625,1.53789324638524,11.6863206885926
100,300,221.25,1.53797340350074,11.7385522210355
100,300,221.875,1.53805273347241,11.7907791495845
100,300,222.5,1.53813124533254,11.8430019744676
100,300,223.125,1.53820894794811,11.8952211923247
100,300,223.75,1.5382858500246,11.9474372962648
100,300,224.375,1.53836196010959,11.9996507759225
100,300,225,1.53843728659636,12.051862117513
100,300,225.625,1.53851183772734,12.1040718038869
100,300,226.25,1.53858562159749,12.1562803145839
