"InsetL [um]","ResFreq [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
15,300,125,0.264852920932506,4.66708633601332
15,300,125.625,0.265198034572245,4.74141396014122
15,300,126.25,0.265577496817836,4.81562423635308
15,300,126.875,0.265990677282829,4.88972113865958
15,300,127.5,0.266436966974127,4.96370859791426
15,300,128.125,0.266915777739315,5.03759050346621
15,300,128.75,0.267426541734483,5.11137070477792
15,300,129.375,0.267968710911931,5.18505301300961
15,300,130,0.268541756527022,5.25864120257165
15,300,130.625,0.269145168663576,5.33213901264626
15,300,131.25,0.269778455777278,5.4055501486801
15,300,131.875,0.270441144256378,5.47887828384886
15,300,132.5,0.271132777999231,5.55212706049524
15,300,133.125,0.271852918008168,5.62530009154156
15,300,133.75,0.27260114199911,5.69840096187819
15,300,134.375,0.273377044026524,5.77143322972897
15,300,135,0.274180234123223,5.84440042799485
15,300,135.625,0.275010337954578,5.91730606557674
15,300,136.25,0.275866996486758,5.99015362867885
15,300,136.875,0.276749865668561,6.06294658209335
15,300,137.5,0.277658616126488,6.13568837046765
15,300,138.125,0.278592932872681,6.20838241955515
15,300,138.75,0.279552515025374,6.28103213745052
15,300,139.375,0.280537075541611,6.35364091581051
15,300,140,0.281546340961797,6.42621213106119
15,300,140.625,0.282580051165904,6.49874914559268
15,300,141.25,0.283637959140966,6.57125530894218
15,300,141.875,0.28471983075968,6.64373395896627
15,300,142.5,0.285825444569802,6.71618842300341
15,300,143.125,0.28695459159412,6.78862201902745
15,300,143.75,0.288107075140839,6.86103805679315
15,300,144.375,0.289282710624064,6.93343983897441
15,300,145,0.290481325394266,7.00583066229625
15,300,145.625,0.291702758578556,7.07821381866125
15,300,146.25,0.292946860930519,7.15059259627134
15,300,146.875,0.294213494689547,7.22297028074586
15,300,147.5,0.295502533449457,7.29535015623652
15,300,148.125,0.296813862036258,7.36773550654036
15,300,148.75,0.298147376395008,7.44012961621123
15,300,149.375,0.299502983485567,7.51253577167093
15,300,150,0.300880601187201,7.58495726232058
15,300,150.625,0.302280158211942,7.65739738165314
15,300,151.25,0.30370159402658,7.72985942836797
15,300,151.875,0.305144858783243,7.80234670748813
15,300,152.5,0.306609913258553,7.87486253148134
15,300,153.125,0.308096728801239,7.94741022138539
15,300,153.75,0.309605287288161,8.01999310793886
15,300,154.375,0.311135581088835,8.09261453271803
15,300,155,0.312687613038274,8.16527784928072
15,300,155.625,0.314261396418285,8.23798642431809
15,300,156.25,0.315856954947103,8.31074363881509
15,300,156.875,0.317474322777523,8.38355288922061
15,300,157.5,0.319113544503363,8.45641758862814
15,300,158.125,0.320774675174459,8.52934116796778
15,300,158.75,0.322457780320194,8.60232707721074
15,300,159.375,0.324162935981539,8.675378786587
15,300,160,0.325890228751794,8.74849978781732
15,300,160.625,0.327639755826011,8.8216935953604
15,300,161.25,0.329411625059239,8.89496374767632
15,300,161.875,0.331205955033706,8.96831380850711
15,300,162.5,0.333022875134998,9.04174736817577
15,300,163.125,0.334862525637409,9.1152680449044
15,300,163.75,0.336725057798597,9.18887948615291
15,300,164.375,0.338610633963688,9.2625853699792
15,300,165,0.340519427678952,9.33638940642204
15,300,165.625,0.342451623815361,9.41029533890771
15,300,166.25,0.344407418702058,9.48430694568185
15,300,166.875,0.346387020270057,9.55842804126746
15,300,167.5,0.34839064820636,9.63266247795049
15,300,168.125,0.350418534118754,9.70701414729439
15,300,168.75,0.352470921711487,9.78148698168479
15,300,169.375,0.354548066972192,9.85608495590586
15,300,170,0.356650238370225,9.93081208874973
