"InsetL [um]","ResFreq [GHz]","Freq [GHz]","dB(S(1,1)) []"
5,300,186.25,-0.153867893255934
5,300,186.875,-0.154818003288449
5,300,187.5,-0.155779937193468
5,300,188.125,-0.156753914133189
5,300,188.75,-0.157740160448183
5,300,189.375,-0.158738909884635
5,300,190,-0.159750403830819
5,300,190.625,-0.160774891563178
5,300,191.25,-0.161812630502514
5,300,191.875,-0.162863886480687
5,300,192.5,-0.163928934018297
5,300,193.125,-0.165008056613918
5,300,193.75,-0.16610154704533
5,300,194.375,-0.167209707683412
5,300,195,-0.168332850819141
5,300,195.625,-0.169471299004503
5,300,196.25,-0.170625385407816
5,300,196.875,-0.17179545418425
5,300,197.5,-0.17298186086223
5,300,198.125,-0.174184972746537
5,300,198.75,-0.175405169338878
5,300,199.375,-0.176642842776822
5,300,200,-0.177898398292003
5,300,200.625,-0.179172254688558
5,300,201.25,-0.180464844842808
5,300,201.875,-0.181776616225292
5,300,202.5,-0.183108031446267
5,300,203.125,-0.184459568825904
5,300,203.75,-0.185831722990464
5,300,204.375,-0.187225005495824
5,300,205,-0.188639945479768
5,300,205.625,-0.190077090344628
5,300,206.25,-0.191537006471857
5,300,206.875,-0.193020279970296
5,300,207.5,-0.194527517459968
5,300,208.125,-0.196059346893361
5,300,208.75,-0.197616418416278
5,300,209.375,-0.199199405270483
5,300,210,-0.200809004740503
5,300,210.625,-0.20244593914714
5,300,211.25,-0.204110956890327
5,300,211.875,-0.20580483354426
5,300,212.5,-0.207528373007885
5,300,213.125,-0.209282408713972
5,300,213.75,-0.21106780490037
5,300,214.375,-0.212885457947139
5,300,215,-0.214736297783713
5,300,215.625,-0.216621289370289
5,300,216.25,-0.218541434258271
5,300,216.875,-0.220497772234639
5,300,217.5,-0.222491383055752
5,300,218.125,-0.224523388276349
5,300,218.75,-0.226594953180045
5,300,219.375,-0.228707288818118
5,300,220,-0.230861654163902
5,300,220.625,-0.233059358390774
5,300,221.25,-0.235301763282326
5,300,221.875,-0.237590285784124
5,300,222.5,-0.239926400707206
5,300,223.125,-0.242311643594496
5,300,223.75,-0.24474761376221
5,300,224.375,-0.247235977529566
5,300,225,-0.249778471651338
5,300,225.625,-0.252376906969215
5,300,226.25,-0.255033172299629
5,300,226.875,-0.25774923857736
5,300,227.5,-0.260527163276523
5,300,228.125,-0.263369095132619
5,300,228.75,-0.266277279192276
5,300,229.375,-0.269254062220094
5,300,230,-0.272301898495755
5,300,230.625,-0.275423356038438
5,300,231.25,-0.27862112330032
5,300,231.875,-0.281898016376393
5,300,232.5,-0.285256986784179
5,300,233.125,-0.288701129874277
5,300,233.75,-0.292233693941549
