"InsetL [um]","ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
35,300,125,1.50665935900152,3.97874383581056
35,300,125.625,1.50763749276135,4.0488844376764
35,300,126.25,1.50857572007686,4.11887716662488
35,300,126.875,1.5094762535192,4.18872583221963
35,300,127.5,1.51034114654247,4.25843420972594
35,300,128.125,1.51117230743874,4.32800604007668
35,300,128.75,1.51197151185197,4.39744502998446
35,300,129.375,1.51274041402109,4.46675485217943
35,300,130,1.51348055690037,4.53593914575494
35,300,130.625,1.51419338128525,4.60500151660566
35,300,131.25,1.51488023405608,4.67394553794507
35,300,131.875,1.5155423756371,4.74277475089095
35,300,132.5,1.51618098675671,4.811492665109
35,300,133.125,1.51679717458387,4.88010275950619
35,300,133.75,1.51739197830682,4.94860848296647
35,300,134.375,1.51796637421221,5.01701325512251
35,300,135,1.51852128031606,5.0853204671581
35,300,135.625,1.51905756059185,5.15353348263623
35,300,136.25,1.51957602883609,5.22165563834913
35,300,136.875,1.52007745220699,5.2896902451864
35,300,137.5,1.52056255446798,5.35764058901841
35,300,138.125,1.5210320189644,5.42550993159228
35,300,138.75,1.52148649135854,5.49330151143823
35,300,139.375,1.5219265821455,5.56101854478432
35,300,140,1.52235286897023,5.62866422647805
35,300,140.625,1.52276589876357,5.69624173091344
35,300,141.25,1.52316618971372,5.76375421296227
35,300,141.875,1.52355423308759,5.83120480890874
35,300,142.5,1.5239304949152,5.89859663738662
35,300,143.125,1.52429541754897,5.96593280031832
35,300,143.75,1.52464942110856,6.03321638385522
35,300,144.375,1.52499290482089,6.10045045931919
35,300,145,1.52532624826407,6.16763808414461
35,300,145.625,1.52564981252324,6.23478230282106
35,300,146.25,1.52596394126531,6.30188614783632
35,300,146.875,1.52626896173926,6.36895264061985
35,300,147.5,1.52656518570792,6.43598479248653
35,300,148.125,1.52685291031646,6.50298560558114
35,300,148.75,1.52713241890278,6.56995807382327
35,300,149.375,1.52740398175392,6.63690518385325
35,300,150,1.52766785681293,6.7038299159791
35,300,150.625,1.52792429033967,6.77073524512497
35,300,151.25,1.52817351752913,6.83762414178115
35,300,151.875,1.52841576309028,6.90449957295631
35,300,152.5,1.52865124178839,6.97136450313204
35,300,153.125,1.52888015895348,7.03822189522045
35,300,153.75,1.52910271095715,7.10507471152491
35,300,154.375,1.52931908566028,7.17192591470475
35,300,155,1.52952946283335,7.23877846874408
35,300,155.625,1.52973401455155,7.30563533992565
35,300,156.25,1.52993290556609,7.37249949780982
35,300,156.875,1.53012629365366,7.43937391621967
35,300,157.5,1.53031432994521,7.50626157423248
35,300,158.125,1.53049715923561,7.57316545717842
35,300,158.75,1.53067492027535,7.64008855764695
35,300,159.375,1.53084774604546,7.70703387650166
35,300,160,1.53101576401676,7.77400442390418
35,300,160.625,1.53117909639442,7.84100322034785
35,300,161.25,1.53133786034872,7.90803329770195
35,300,161.875,1.53149216823294,7.97509770026709
35,300,162.5,1.53164212778908,8.04219948584269
35,300,163.125,1.53178784234223,8.10934172680713
35,300,163.75,1.53192941098424,8.17652751121168
35,300,164.375,1.53206692874738,8.24375994388868
35,300,165,1.53220048676843,8.31104214757517
35,300,165.625,1.53233017244393,8.37837726405259
35,300,166.25,1.53245606957709,8.44576845530376
35,300,166.875,1.53257825851661,8.51321890468773
35,300,167.5,1.5326968162882,8.5807318181338
35,300,168.125,1.53281181671893,8.64831042535556
35,300,168.75,1.53292333055497,8.71595798108603
35,300,169.375,1.53303142557295,8.78367776633498
35,300,170,1.53313616668544,8.85147308966953
35,300,170.625,1.53323761604065,8.91934728851927
35,300,171.25,1.53333583311688,8.98730373050696
35,300,171.875,1.53343087481179,9.0553458148062
35,300,172.5,1.53352279552687,9.12347697352721
35,300,173.125,1.53361164724733,9.19170067313227
35,300,173.75,1.53369747961752,9.26002041588188
35,300,174.375,1.53378034001229,9.32843974131346
35,300,175,1.53386027360431,9.39696222775375
35,300,175.625,1.53393732342762,9.46559149386674
35,300,176.25,1.5340115304375,9.53433120023849
35,300,176.875,1.53408293356695,9.60318505100075
35,300,177.5,1.53415156977977,9.672156795495
35,300,178.125,1.53421747412048,9.74125022997876
35,300,178.75,1.53428067976117,9.8104691993761
35,300,179.375,1.53434121804541,9.87981759907435
35,300,180,1.53439911852929,9.94929937676894
35,300,180.625,1.53445440901973,10.0189185343588
35,300,181.25,1.53450711561017,10.0886791298944
35,300,181.875,1.53455726271364,10.1585852795806
35,300,182.5,1.53460487309335,10.2286411598373
35,300,183.125,1.53464996789087,10.2988510094201
35,300,183.75,1.53469256665197,10.3692191316037
35,300,184.375,1.53473268735007,10.439749896431
35,300,185,1.53477034640757,10.5104477430309
35,300,185.625,1.53480555871478,10.5813171820075
35,300,186.25,1.53483833764688,10.652362797905
35,300,186.875,1.53486869507853,10.7235892517505
35,300,187.5,1.53489664139654,10.7950012836793
35,300,188.125,1.53492218551027,10.866603715646
35,300,188.75,1.53494533486006,10.9384014542254
35,300,189.375,1.53496609542347,11.0103994935082
35,300,190,1.53498447171952,11.0826029180948
35,300,190.625,1.53500046681074,11.1550169061925
35,300,191.25,1.53501408230317,11.2276467328216
35,300,191.875,1.5350253183442,11.3004977731351
35,300,192.5,1.5350341736182,11.3735755058566
35,300,193.125,1.53504064534003,11.4468855168451
35,300,193.75,1.53504472924621,11.5204335027894
35,300,194.375,1.53504641958383,11.5942252750419
35,300,195,1.53504570909709,11.6682667635968
35,300,195.625,1.53504258901136,11.7425640212207
35,300,196.25,1.53503704901473,11.8171232277446
35,300,196.875,1.53502907723691,11.8919506945234
35,300,197.5,1.53501866022542,11.9670528690754
35,300,198.125,1.53500578291889,12.0424363399073
35,300,198.75,1.53499042861732,12.1181078415393
35,300,199.375,1.53497257894922,12.1940742597374
35,300,200,1.53495221383536,12.2703426369679
35,300,200.625,1.534929311449,12.3469201780846
35,300,201.25,1.53490384817233,12.4238142562633
35,300,201.875,1.53487579854887,12.5010324191983
35,300,202.5,1.53484513523158,12.5785823955755
35,300,203.125,1.53481182892636,12.6564721018413
35,300,203.75,1.5347758483305,12.734709649283
35,300,204.375,1.53473716006583,12.8133033514424
35,300,205,1.53469572860597,12.8922617318835
35,300,205.625,1.53465151619729,12.9715935323377
35,300,206.25,1.53460448277293,13.0513077212516
35,300,206.875,1.53455458585928,13.1314135027653
35,300,207.5,1.53450178047415,13.2119203261512
35,300,208.125,1.53444601901581,13.2928378957467
35,300,208.75,1.53438725114201,13.3741761814165
35,300,209.375,1.53432542363778,13.4559454295833
35,300,210,1.53426048027093,13.538156174873
35,300,210.625,1.53419236163368,13.6208192524195
35,300,211.25,1.53412100496893,13.7039458108841
35,300,211.875,1.53404634397923,13.7875473262479
35,300,212.5,1.53396830861631,13.8716356164423
35,300,213.125,1.53388682484867,13.9562228568901
35,300,213.75,1.53380181440435,14.0413215970387
35,300,214.375,1.53371319448554,14.1269447779752
35,300,215,1.5336208774509,14.2131057512255
35,300,215.625,1.53352477046129,14.2998182988515
35,300,216.25,1.53342477508313,14.3870966549739
35,300,216.875,1.53332078684329,14.4749555288661
35,300,217.5,1.53321269472763,14.5634101297846
35,300,218.125,1.53310038061448,14.6524761937193
35,300,218.75,1.53298371863207,14.7421700122786
35,300,219.375,1.53286257442717,14.8325084639496
35,300,220,1.53273680432954,14.9235090480096
35,300,220.625,1.53260625439348,15.0151899214066
35,300,221.25,1.53247075929402,15.1075699389719
35,300,221.875,1.53233014105031,15.2006686973829
35,300,222.5,1.5321842075428,15.2945065833596
35,300,223.125,1.5320327507831,15.3891048266506
35,300,223.75,1.53187554488608,15.4844855584519
35,300,224.375,1.53171234368152,15.5806718760029
35,300,225,1.53154287788746,15.6776879142177
35,300,225.625,1.531366851748,15.7755589253452
35,300,226.25,1.531183939013,15.8743113677987
35,300,226.875,1.5309937781052,15.9739730054652
35,300,227.5,1.5307959662781,16.0745730189869
35,300,228.125,1.53059005251354,16.1761421306925
35,300,228.75,1.53037552883596,16.2787127450434
35,300,229.375,1.5301518196256,16.3823191066034
35,300,230,1.52991826838705,16.486997477612
35,300,230.625,1.52967412126091,16.5927863371472
35,300,231.25,1.52941850633987,16.6997266034702
35,300,231.875,1.52915040754382,16.8078618802241
35,300,232.5,1.52886863139135,16.9172387253078
35,300,233.125,1.52857176443466,17.0279069378263
35,300,233.75,1.52825811834132,17.1399198524021
35,300,234.375,1.52792565852904,17.2533346194732
35,300,235,1.52757191077675,17.3682124317985
35,300,235.625,1.52719383820308,17.4846186258349
35,300,236.25,1.52678767824861,17.6026225325868
35,300,236.875,1.5263487256446,17.7222968598443
35,300,237.5,1.52587104271644,17.8437162284483
35,300,238.125,1.52534707302573,17.9669542109304
35,300,238.75,1.52476712957348,18.0920777482864
35,300,239.375,1.5241187284162,18.2191370095619
35,300,240,1.52338575265001,18.3481473842441
35,300,240.625,1.52254748474398,18.4790580357192
35,300,241.25,1.52157769326308,18.6116979611939
35,300,241.875,1.52044432342706,18.745685936182
35,300,242.5,1.51911114920721,18.8802873946698
35,300,243.125,1.51754432851907,19.0142086260661
35,300,243.75,1.51572922248506,19.1453637107893
35,300,244.375,1.51370423543064,19.2707864621346
35,300,245,1.511611122427,19.3871217186844
35,300,245.625,1.5097311517663,19.4922799768635
35,300,246.25,1.50843212781854,19.5880391099399
35,300,246.875,1.50798168817919,19.6812742464233
35,300,247.5,1.50835785565599,19.7811696198347
35,300,248.125,1.50926973589227,19.8942516985824
35,300,248.75,1.5103603220506,20.022126762321
35,300,249.375,1.51137144509066,20.162924678991
35,300,250,1.51217712169982,20.313687858478
35,300,250.625,1.51274388471949,20.4717990733791
35,300,251.25,1.51308456912593,20.6353998945544
35,300,251.875,1.51322858492371,20.8033241720264
35,300,252.5,1.5132073436343,20.974907511383
35,300,253.125,1.51304856153397,21.1498149750064
35,300,253.75,1.51277478357756,21.3279182507588
35,300,254.375,1.51240361174914,21.5092162474094
35,300,255,1.51194847350104,21.6937861510568
35,300,255.625,1.51141945244407,21.8817540355252
35,300,256.25,1.5108240144731,22.0732775350201
35,300,256.875,1.51016759137222,22.2685358306783
35,300,257.5,1.509454031515,22.4677240484802
35,300,258.125,1.50868594092802,22.6710503227696
35,300,258.75,1.50786493864076,22.8787344821655
35,300,259.375,1.50699184668462,23.0910077359231
35,300,260,1.50606683078481,23.3081129906702
35,300,260.625,1.5050895039192,23.5303055784468
35,300,261.25,1.50405900180237,23.7578542680751
35,300,261.875,1.50297403696507,23.9910424873712
35,300,262.5,1.50183293631054,24.2301697179385
35,300,263.125,1.50063366570409,24.4755530458134
35,300,263.75,1.49937384417315,24.7275288651478
35,300,264.375,1.49805074956759,24.9864547415202
35,300,265,1.49666131698695,25.2527114482335
35,300,265.625,1.49520213086798,25.5267051942621
35,300,266.25,1.49366941130706,25.8088700670937
35,300,266.875,1.4920589949381,26.0996707180698
35,300,267.5,1.49036631047807,26.3996053222897
35,300,268.125,1.48858634887343,26.7092088499796
