"InsetL [um]","ResFreq [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
80,300,125,0.248334143588896,3.32468146922167
80,300,125.625,0.249112689016098,3.39028546244928
80,300,126.25,0.249890124779974,3.45568320532373
80,300,126.875,0.250666543430898,3.5208784386874
80,300,127.5,0.251442035997712,3.5858748390012
80,300,128.125,0.252216692055687,3.65067602007077
80,300,128.75,0.252990599793095,3.71528553472673
80,300,129.375,0.253763846076416,3.77970687646054
80,300,130,0.25453651651422,3.8439434810178
80,300,130.625,0.255308695519879,3.9079987279504
80,300,131.25,0.256080466373147,3.97187594212922
80,300,131.875,0.256851911280735,4.03557839521882
80,300,132.5,0.257623111435923,4.09910930711558
80,300,133.125,0.258394147077406,4.16247184735064
80,300,133.75,0.259165097547247,4.22566913645919
80,300,134.375,0.259936041348238,4.28870424731715
80,300,135,0.260707056200681,4.35158020644683
80,300,135.625,0.261478219098554,4.41429999529259
80,300,136.25,0.262249606365368,4.47686655146791
80,300,136.875,0.263021293709633,4.53928276997484
80,300,137.5,0.263793356280033,4.60155150439729
80,300,138.125,0.264565868720534,4.663675568069
80,300,138.75,0.2653389052253,4.72565773521751
80,300,139.375,0.266112539593741,4.78750074208515
80,300,140,0.266886845285572,4.84920728802814
80,300,140.625,0.267661895476173,4.91078003659479
80,300,141.25,0.268437763112162,4.97222161658396
80,300,141.875,0.269214520967493,5.03353462308477
80,300,142.5,0.269992241699937,5.09472161849846
80,300,143.125,0.270770997908355,5.15578513354363
80,300,143.75,0.271550862190567,5.21672766824563
80,300,144.375,0.272331907202222,5.27755169291135
80,300,145,0.273114205716575,5.33825964909015
80,300,145.625,0.273897830685468,5.39885395052212
80,300,146.25,0.274682855301549,5.45933698407461
80,300,146.875,0.275469353061967,5.51971111066807
80,300,147.5,0.276257397833651,5.57997866619214
80,300,148.125,0.277047063920317,5.64014196241315
80,300,148.75,0.277838426131513,5.70020328787398
80,300,149.375,0.278631559853734,5.76016490878743
80,300,150,0.27942654112395,5.82002906992415
80,300,150.625,0.280223446705723,5.87979799549623
80,300,151.25,0.281022354168128,5.9394738900377
80,300,151.875,0.281823341967783,5.99905893928309
80,300,152.5,0.282626489534272,6.05855531104518
80,300,153.125,0.283431877359238,6.11796515609344
80,300,153.75,0.284239587089499,6.17729060903431
80,300,154.375,0.285049701624551,6.23653378919483
80,300,155,0.285862305218803,6.29569680151099
80,300,155.625,0.286677483589089,6.35478173742247
80,300,156.25,0.287495324027733,6.41379067577528
80,300,156.875,0.288315915521885,6.47272568373408
80,300,157.5,0.289139348879492,6.53158881770595
80,300,158.125,0.289965716862651,6.59038212427761
80,300,158.75,0.290795114328949,6.64910764116815
80,300,159.375,0.29162763838148,6.70776739819938
80,300,160,0.292463388528434,6.7663634182863
80,300,160.625,0.293302466853088,6.8248977184501
80,300,161.25,0.294144978195139,6.88337231085655
80,300,161.875,0.294991030344525,6.94178920388251
80,300,162.5,0.295840734248861,7.00015040321405
80,300,163.125,0.296694204235814,7.05845791297932
80,300,163.75,0.297551558251954,7.11671373692002
80,300,164.375,0.298412918119493,7.17491987960566
80,300,165,0.299278409812995,7.23307834769473
80,300,165.625,0.300148163757758,7.29119115124794
80,300,166.25,0.301022315152299,7.34926030509855
80,300,166.875,0.301901004317364,7.40728783028561
80,300,167.5,0.302784377074195,7.4652757555566
80,300,168.125,0.303672585155242,7.5232261189462
80,300,168.75,0.304565786650724,7.58114096943899
80,300,169.375,0.305464146495023,7.63902236872447
80,300,170,0.306367836997295,7.69687239305371
80,300,170.625,0.307277038421191,7.75469313520801
80,300,171.25,0.308191939619443,7.81248670659086
80,300,171.875,0.309112738729426,7.87025523945602
80,300,172.5,0.310039643937141,7.92800088928574
80,300,173.125,0.310972874317441,7.98572583733478
80,300,173.75,0.311912660760011,8.04343229335779
80,300,174.375,0.312859246991518,8.10112249853967
80,300,175,0.313812890705893,8.15879872865061
80,300,175.625,0.314773864816608,8.21646329745056
80,300,176.25,0.315742458846585,8.27411856037057
80,300,176.875,0.316718980473846,8.33176691850212
80,300,177.5,0.317703757253673,8.38941082292927
80,300,178.125,0.318697138541273,8.44705277944334
80,300,178.75,0.319699497642604,8.50469535368464
80,300,179.375,0.320711234225521,8.56234117676198
80,300,180,0.321732777028414,8.61999295140752
80,300,180.625,0.322764586909814,8.67765345873259
80,300,181.25,0.323807160289587,8.73532556565902
80,300,181.875,0.324861033040918,8.79301223311161
80,300,182.5,0.325926784902767,8.85071652506946
80,300,183.125,0.327005044494522,8.9084416185886
80,300,183.75,0.328096495029604,8.96619081492514
80,300,184.375,0.329201880842396,9.02396755190806
80,300,185,0.330322014864338,9.0817754177339
80,300,185.625,0.331457787211333,9.13961816638311
80,300,186.25,0.332610175075934,9.19749973488994
80,300,186.875,0.333780254156822,9.2554242627361
80,300,187.5,0.334969211905521,9.31339611368338
80,300,188.125,0.336178362928641,9.37141990041444
80,300,188.75,0.337409166956565,9.429500512415
80,300,189.375,0.338663249879119,9.487643147607
80,300,190,0.339942428461115,9.54585334833441
80,300,190.625,0.341248739491317,9.60413704241305
80,300,191.25,0.34258447429556,9.66250059008865
80,300,191.875,0.343952219769534,9.72095083790709
80,300,192.5,0.345354907372784,9.77949518069416
80,300,193.125,0.346795871892081,9.83814163307643
80,300,193.75,0.348278922254713,9.89689891225862
80,300,194.375,0.349808427284759,9.95577653411784
80,300,195,0.351389420094876,10.0147849250936
80,300,195.625,0.353027725856509,10.0739355528606
80,300,196.25,0.354730119081373,10.1332410793852
80,300,196.875,0.356504518399902,10.1927155407093
80,300,197.5,0.358360229311281,10.2523745586885
80,300,198.125,0.360308248750255,10.31223559096
80,300,198.75,0.362361649918759,10.3723182266255
80,300,199.375,0.364536072171038,10.4326445364905
80,300,200,0.366850349555569,10.4932394881221
80,300,200.625,0.369327323986113,10.5541314373069
80,300,201.25,0.371994906539981,10.6153527083239
80,300,201.875,0.374887475460169,10.6769402750522
80,300,202.5,0.378047735683342,10.7389365518711
80,300,203.125,0.381529217618414,10.8013902948035
80,300,203.75,0.385399670845446,10.8643575941782
80,300,204.375,0.389745724223464,10.9279029002301
80,300,205,0.394679357141491,10.9920999434254
80,300,205.625,0.400346986677163,11.0570322549934
80,300,206.25,0.406942364725581,11.1227926882591
80,300,206.875,0.414725054078623,11.1894807462307
80,300,207.5,0.424047071207801,11.2571953538148
80,300,208.125,0.435391349296361,11.3260184113359
80,300,208.75,0.449426736465803,11.3959799118975
80,300,209.375,0.467084168208458,11.4669864395046
80,300,210,0.489653574670592,11.5386776502777
80,300,210.625,0.518879297557467,11.6101446346481
80,300,211.25,0.556961362714452,11.6794001864963
80,300,211.875,0.606178307472082,11.7424766284354
80,300,212.5,0.667442894199903,11.7922571906653
80,300,213.125,0.736736719687163,11.8182482756071
80,300,213.75,0.799957668628878,11.8109129482173
80,300,214.375,0.833517522393321,11.7734870195985
80,300,215,0.820788005736834,11.7299492996999
80,300,215.625,0.769740905662663,11.7094118897267
80,300,216.25,0.703935907296578,11.7232830787762
80,300,216.875,0.641932434292473,11.7653918301051
80,300,217.5,0.591121621516007,11.8247737218433
80,300,218.125,0.551990998912955,11.8929333044418
80,300,218.75,0.522575475346989,11.9648262814099
80,300,219.375,0.500595669700878,12.0378211959219
80,300,220,0.484140052931911,12.1106614047889
80,300,220.625,0.471764031058172,12.182807701301
80,300,221.25,0.462416698281253,12.2540775963842
80,300,221.875,0.455341831396856,12.3244585134783
80,300,222.5,0.449994327746113,12.3940136268716
80,300,223.125,0.4459782108764,12.4628352859067
80,300,223.75,0.443002788885212,12.5310225497907
80,300,224.375,0.440852167005681,12.5986708611539
80,300,225,0.43936409951201,12.6658677827968
80,300,225.625,0.438415251560022,12.7326917115368
80,300,226.25,0.43791084244832,12.7992120002932
80,300,226.875,0.437777293784737,12.8654896938133
80,300,227.5,0.437956953521749,12.9315784808441
80,300,228.125,0.438404267457947,12.9975256701892
80,300,228.75,0.439082970474034,13.0633731032476
80,300,229.375,0.439964003880825,13.1291579690901
80,300,230,0.441023955369729,13.1949135146121
80,300,230.625,0.442243879076884,13.2606696547332
80,300,231.25,0.443608394967526,13.3264534927885
80,300,231.875,0.445104995512673,13.392289762771
80,300,232.5,0.446723507673372,13.4582012048307
80,300,233.125,0.448455672311117,13.5242088844069
80,300,233.75,0.450294813164462,13.5903324640781
80,300,234.375,0.452235574720591,13.6565904359043
80,300,235,0.454273713514319,13.7230003208324
80,300,235.625,0.456405931189066,13.7895788406684
80,300,236.25,0.458629740454056,13.8563420672162
80,300,236.875,0.460943357152822,13.923305552413
80,300,237.5,0.463345613215463,13.9904844426533
80,300,238.125,0.465835886442403,14.0578935799662
80,300,238.75,0.468414043961147,14.1255475922744
80,300,239.375,0.471080396881386,14.1934609746033
80,300,240,0.473835664201985,14.2616481628167
80,300,240.625,0.476680944432768,14.3301236012107
80,300,241.25,0.479617693715297,14.3989018051033
80,300,241.875,0.482647709479196,14.467997419389
80,300,242.5,0.485773118871524,14.5374252739023
80,300,243.125,0.48899637135747,14.6072004363164
80,300,243.75,0.492320235020515,14.6773382632242
80,300,244.375,0.495747796196078,14.7478544499693
80,300,245,0.499282462160467,14.8187650797421
80,300,245.625,0.502927966669879,14.8900866724086
80,300,246.25,0.50668837820653,14.9618362335025
80,300,246.875,0.510568110842656,15.0340313037888
80,300,247.5,0.514571937680483,15.1066900097812
80,300,248.125,0.518705006869069,15.1798311155885
80,300,248.75,0.522972860238206,15.2534740764556
80,300,249.375,0.52738145462712,15.3276390943635
80,300,250,0.531937186021837,15.402347176056
80,300,250.625,0.536646916651219,15.4776201938722
80,300,251.25,0.541518005228713,15.5534809497708
80,300,251.875,0.546558340564832,15.6299532429574
80,300,252.5,0.551776378816129,15.7070619415408
80,300,253.125,0.557181184680017,15.7848330586777
80,300,253.75,0.562782476892191,15.8632938336924
80,300,254.375,0.568590678435683,15.9424728186976
80,300,255,0.574616971928676,16.0223999712853
80,300,255.625,0.580873360722951,16.1031067539035
80,300,256.25,0.58737273631782,16.1846262405937
80,300,256.875,0.594128952776854,16.2669932318224
80,300,257.5,0.60115690892809,16.3502443782145
80,300,258.125,0.608472639235213,16.434418314075
80,300,258.75,0.616093414348449,16.5195558016737
80,300,259.375,0.6240378524838,16.6056998873709
