"InsetL [um]","ResFreq [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
45,300,125,0.25150485709721,3.7397911501599
45,300,125.625,0.252364916527554,3.80866863060135
45,300,126.25,0.253227525951229,3.87737363259094
45,300,126.875,0.254092746612188,3.94591035089967
45,300,127.5,0.254960642312542,4.01428291921652
45,300,128.125,0.255831279380306,4.08249541197628
45,300,128.75,0.25670472663969,4.15055184614225
45,300,129.375,0.257581055383733,4.21845618294542
45,300,130,0.25846033934945,4.28621232958195
45,300,130.625,0.259342654695166,4.35382414087036
45,300,131.25,0.260228079980312,4.42129542087016
45,300,131.875,0.26111669614737,4.48862992446322
45,300,132.5,0.262008586506118,4.55583135889952
45,300,133.125,0.262903836720089,4.62290338530849
45,300,133.75,0.263802534795206,4.68984962017745
45,300,134.375,0.26470477107054,4.75667363679833
45,300,135,0.265610638211267,4.82337896668405
45,300,135.625,0.266520231203719,4.88996910095568
45,300,136.25,0.267433647352534,4.95644749170164
45,300,136.875,0.268350986279917,5.02281755331008
45,300,137.5,0.269272349926975,5.08908266377561
45,300,138.125,0.270197842557101,5.1552461659813
45,300,138.75,0.271127570761497,5.22131136895728
45,300,139.375,0.272061643466676,5.28728154911671
45,300,140,0.273000171944116,5.35315995147032
45,300,140.625,0.273943269821902,5.41894979082036
45,300,141.25,0.274891053098509,5.48465425293503
45,300,141.875,0.27584364015864,5.55027649570425
45,300,142.5,0.276801151791134,5.61581965027762
45,300,143.125,0.27776371120903,5.68128682218571
45,300,143.75,0.278731444071707,5.74668109244522
45,300,144.375,0.279704478509178,5.81200551864909
45,300,145,0.280682945148571,5.87726313604234
45,300,145.625,0.281666977142712,5.94245695858442
45,300,146.25,0.282656710201063,6.00758997999892
45,300,146.875,0.283652282622724,6.07266517481144
45,300,147.5,0.284653835331867,6.13768549937631
45,300,148.125,0.285661511915369,6.20265389289308
45,300,148.75,0.286675458662856,6.26757327841343
45,300,149.375,0.287695824609131,6.33244656383922
45,300,150,0.288722761578977,6.39727664291255
45,300,150.625,0.28975642423454,6.46206639619845
45,300,151.25,0.290796970125199,6.52681869206093
45,300,151.875,0.29184455974,6.59153638763325
45,300,152.5,0.292899356562823,6.65622232978288
45,300,153.125,0.293961527130189,6.7208793560721
45,300,153.75,0.295031241091925,6.78551029571485
45,300,154.375,0.296108671274607,6.85011797053045
45,300,155,0.297193993748046,6.91470519589512
45,300,155.625,0.29828738789468,6.97927478169174
45,300,156.25,0.299389036482127,7.04382953325881
45,300,156.875,0.300499125738972,7.10837225233909
45,300,157.5,0.30161784543376,7.17290573802886
45,300,158.125,0.302745388957444,7.23743278772829
45,300,158.75,0.303881953409341,7.30195619809385
45,300,159.375,0.30502773968663,7.36647876599331
45,300,160,0.306182952577732,7.43100328946426
45,300,160.625,0.307347800859377,7.49553256867662
45,300,161.25,0.308522497397831,7.56006940690021
45,300,161.875,0.309707259254152,7.62461661147792
45,300,162.5,0.310902307793816,7.68917699480531
45,300,163.125,0.312107868800717,7.75375337531746
45,300,163.75,0.313324172595868,7.81834857848386
45,300,164.375,0.314551454160789,7.88296543781213
45,300,165,0.315789953266005,7.94760679586148
45,300,165.625,0.317039914604576,8.01227550526657
45,300,166.25,0.318301587931107,8.07697442977295
45,300,166.875,0.319575228206291,8.14170644528469
45,300,167.5,0.320861095747334,8.20647444092522
45,300,168.125,0.3221594563844,8.27128132011237
45,300,168.75,0.323470581623414,8.33613000164854
45,300,169.375,0.324794748815426,8.40102342082689
45,300,170,0.326132241332941,8.46596453055479
45,300,170.625,0.327483348753292,8.53095630249531
45,300,171.25,0.328848367049695,8.59600172822816
45,300,171.875,0.330227598790023,8.66110382043088
45,300,172.5,0.33162135334382,8.72626561408167
45,300,173.125,0.333029947097955,8.79149016768495
45,300,173.75,0.334453703681199,8.856780564521
45,300,174.375,0.335892954198267,8.92213991392082
45,300,175,0.337348037473712,8.98757135256771
45,300,175.625,0.338819300306226,9.05307804582685
45,300,176.25,0.340307097733725,9.11866318910442
45,300,176.875,0.341811793309962,9.18433000923771
45,300,177.5,0.343333759393052,9.25008176591781
45,300,178.125,0.344873377446653,9.31592175314653
45,300,178.75,0.346431038354395,9.38185330072927
45,300,179.375,0.348007142748357,9.4478797758056
45,300,180,0.349602101352188,9.51400458441948
45,300,180.625,0.351216335339757,9.58023117313098
45,300,181.25,0.352850276710285,9.64656303067169
45,300,181.875,0.354504368680632,9.71300368964581
45,300,182.5,0.356179066095982,9.77955672827933
45,300,183.125,0.357874835859766,9.84622577221956
45,300,183.75,0.359592157384078,9.91301449638754
45,300,184.375,0.361331523061769,9.97992662688593
45,300,185,0.363093438761415,10.0469659429652
45,300,185.625,0.364878424346769,10.1141362790509
45,300,186.25,0.366687014221933,10.1814415268351
45,300,186.875,0.368519757904127,10.2488856374358
45,300,187.5,0.37037722062566,10.3164726236259
45,300,188.125,0.372259983966978,10.3842065621386
45,300,188.75,0.374168646522958,10.4520915960489
45,300,189.375,0.376103824604607,10.5201319372394
45,300,190,0.37806615297848,10.5883318689514
45,300,190.625,0.380056285646612,10.6566957484277
45,300,191.25,0.382074896669688,10.7252280096515
45,300,191.875,0.38412268103651,10.7939331661862
45,300,192.5,0.386200355583324,10.8628158141223
45,300,193.125,0.388308659966459,10.931880635136
45,300,193.75,0.390448357692522,11.0011323996675
45,300,194.375,0.392620237210401,11.070575970224
45,300,195,0.394825113070031,11.1402163048152
45,300,195.625,0.397063827153265,11.2100584605295
45,300,196.25,0.399337249982589,11.2801075972577
45,300,196.875,0.401646282114308,11.3503689815745
45,300,197.5,0.403991855623221,11.4208479907855
45,300,198.125,0.406374935686742,11.491550117152
45,300,198.75,0.408796522277255,11.5624809723019
45,300,199.375,0.411257651972339,11.6336462918409
45,300,200,0.413759399893753,11.705051940175
45,300,200.625,0.416302881787231,11.7767039155588
45,300,201.25,0.418889256256512,11.8486083553843
45,300,201.875,0.42151972716672,11.920771541726
45,300,202.5,0.424195546233961,11.9931999071602
45,300,203.125,0.426918015820106,12.0659000408774
