"InsetL [um]","ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
15,300,125,1.51410803479613,4.67459537687795
15,300,125.625,1.51492227643997,4.74882473239043
15,300,126.25,1.51570300363906,4.82294186079069
15,300,126.875,1.516451964973,4.89695046475413
15,300,127.5,1.51717079351765,4.97085422260383
15,300,128.125,1.51786101604602,5.04465678842665
15,300,128.75,1.51852406136804,5.11836179230093
15,300,129.375,1.5191612679012,5.19197284062117
15,300,130,1.51977389055368,5.26549351650753
15,300,130.625,1.52036310699126,5.33892738028896
15,300,131.25,1.52093002335144,5.41227797005079
15,300,131.875,1.52147567946048,5.48554880223824
15,300,132.5,1.52200105360307,5.55874337230899
15,300,133.125,1.52250706688852,5.63186515542827
15,300,133.75,1.52299458725265,5.70491760720113
15,300,134.375,1.52346443313024,5.77790416443718
15,300,135,1.52391737682904,5.85082824594349
15,300,135.625,1.52435414763327,5.92369325334231
15,300,136.25,1.52477543466137,5.99650257191015
15,300,136.875,1.52518188950041,6.06925957143579
15,300,137.5,1.52557412863707,6.14196760709475
15,300,138.125,1.52595273570323,6.21463002033814
15,300,138.75,1.52631826355245,6.28725013979429
15,300,139.375,1.5266712361818,6.35983128218153
15,300,140,1.52701215051232,6.43237675323103
15,300,140.625,1.52734147804003,6.50488984861838
15,300,141.25,1.52765966636826,6.57737385490337
15,300,141.875,1.52796714063097,6.64983205047688
15,300,142.5,1.52826430481615,6.72226770651456
15,300,143.125,1.52855154299709,6.79468408793679
15,300,143.75,1.52882922047901,6.86708445437437
15,300,144.375,1.52909768486769,6.93947206114006
15,300,145,1.52935726706606,7.01185016020545
15,300,145.625,1.52960828220446,7.08422200118329
15,300,146.25,1.52985103050941,7.15659083231531
15,300,146.875,1.53008579811578,7.22895990146545
15,300,147.5,1.53031285782628,7.30133245711872
15,300,148.125,1.53053246982245,7.37371174938595
15,300,148.75,1.53074488233039,7.44610103101446
15,300,149.375,1.53095033224477,7.51850355840523
15,300,150,1.53114904571393,7.59092259263658
15,300,150.625,1.53134123868882,7.66336140049502
15,300,151.25,1.53152711743847,7.7358232555135
15,300,151.875,1.53170687903407,7.80831143901758
15,300,152.5,1.53188071180404,7.88082924117996
15,300,153.125,1.53204879576193,7.95337996208398
15,300,153.75,1.53221130300894,8.02596691279646
15,300,154.375,1.53236839811296,8.09859341645069
15,300,155,1.53252023846536,8.17126280933993
15,300,155.625,1.53266697461731,8.24397844202227
15,300,156.25,1.53280875059672,8.31674368043731
15,300,156.875,1.53294570420711,8.38956190703557
15,300,157.5,1.53307796730958,8.46243652192115
15,300,158.125,1.533205666089,8.53537094400843
15,300,158.75,1.53332892130517,8.60836861219373
15,300,159.375,1.53344784853015,8.68143298654248
15,300,160,1.53356255837245,8.75456754949299
15,300,160.625,1.53367315668891,8.82777580707737
15,300,161.25,1.53377974478494,8.90106129016086
15,300,161.875,1.53388241960395,8.97442755570009
15,300,162.5,1.5339812739065,9.04787818802158
15,300,163.125,1.53407639643969,9.1214168001211
15,300,163.75,1.53416787209757,9.19504703498526
15,300,164.375,1.53425578207288,9.26877256693604
15,300,165,1.53434020400067,9.34259710299959
15,300,165.625,1.53442121209427,9.41652438430029
15,300,166.25,1.53449887727402,9.49055818748118
15,300,166.875,1.53457326728912,9.56470232615211
15,300,167.5,1.53464444683303,9.63896065236667
15,300,168.125,1.53471247765266,9.71333705812927
15,300,168.75,1.53477741865178,9.78783547693366
15,300,169.375,1.53483932598889,9.86245988533427
15,300,170,1.53489825316986,9.93721430455172
15,300,170.625,1.53495425113551,10.0121028021141
15,300,171.25,1.53500736834454,10.0871294935351
15,300,171.875,1.5350576508519,10.1622985440319
15,300,172.5,1.53510514238282,10.2376141702816
15,300,173.125,1.53514988440286,10.3130806422218
15,300,173.75,1.53519191618389,10.3887022848938
15,300,174.375,1.53523127486645,10.4644834803313
15,300,175,1.53526799551851,10.5404286694974
15,300,175.625,1.53530211119078,10.6165423542707
15,300,176.25,1.53533365296877,10.6928290994825
15,300,176.875,1.53536265002168,10.7692935350085
15,300,177.5,1.5353891296483,10.8459403579156
15,300,178.125,1.53541311731999,10.9227743346672
15,300,178.75,1.53543463672086,10.9998003033886
15,300,179.375,1.53545370978525,11.077023176196
15,300,180,1.5354703567326,11.1544479415906
15,300,180.625,1.53548459609985,11.2320796669207
15,300,181.25,1.53549644477135,11.3099235009156
15,300,181.875,1.53550591800637,11.3879846762924
15,300,182.5,1.53551302946443,11.4662685124412
15,300,183.125,1.53551779122827,11.5447804181888
15,300,183.75,1.53552021382468,11.623525894647
15,300,184.375,1.53552030624326,11.7025105381476
15,300,185,1.53551807595295,11.7817400432678
15,300,185.625,1.53551352891669,11.8612202059496
15,300,186.25,1.5355066696039,11.940956926718
15,300,186.875,1.53549750100108,12.0209562140009
15,300,187.5,1.53548602462043,12.1012241875565
15,300,188.125,1.53547224050653,12.1817670820105
15,300,188.75,1.5354561472411,12.2625912505107
15,300,189.375,1.53543774194584,12.3437031685009
15,300,190,1.53541702028341,12.4251094376215
15,300,190.625,1.53539397645646,12.5068167897415
15,300,191.25,1.53536860320482,12.588832091127
15,300,191.875,1.53534089180073,12.6711623467526
15,300,192.5,1.5353108320422,12.7538147047624
15,300,193.125,1.53527841224444,12.8367964610863
15,300,193.75,1.53524361922927,12.9201150642188
15,300,194.375,1.53520643831269,13.0037781201671
15,300,195,1.53516685329031,13.0877933975778
15,300,195.625,1.53512484642084,13.1721688330466
15,300,196.25,1.53508039840744,13.2569125366237
15,300,196.875,1.53503348837702,13.3420327975198
15,300,197.5,1.53498409385727,13.4275380900246
15,300,198.125,1.53493219075155,13.513437079646
15,300,198.75,1.53487775331147,13.599738629481
15,300,199.375,1.53482075410703,13.6864518068285
15,300,200,1.53476116399444,13.7735858900564
15,300,200.625,1.53469895208133,13.8611503757329
15,300,201.25,1.53463408568939,13.9491549860374
15,300,201.875,1.53456653031424,14.0376096764622
15,300,202.5,1.53449624958257,14.1265246438194
15,300,203.125,1.53442320520623,14.2159103345691
15,300,203.75,1.53434735693332,14.3057774534833
15,300,204.375,1.53426866249604,14.3961369726623
15,300,205,1.53418707755513,14.4870001409224
15,300,205.625,1.53410255564089,14.578378493572
15,300,206.25,1.53401504809034,14.6702838625962
15,300,206.875,1.53392450398061,14.7627283872724
15,300,207.5,1.53383087005808,14.8557245252367
15,300,208.125,1.53373409066325,14.9492850640264
15,300,208.75,1.53363410765097,15.0434231331231
15,300,209.375,1.53353086030577,15.1381522165236
15,300,210,1.53342428525206,15.2334861658656
15,300,210.625,1.53331431635875,15.3294392141405
15,300,211.25,1.53320088463805,15.4260259900232
15,300,211.875,1.53308391813797,15.5232615328555
15,300,212.5,1.53296334182814,15.6211613083181
15,300,213.125,1.53283907747847,15.7197412248309
15,300,213.75,1.53271104353012,15.8190176507243
15,300,214.375,1.53257915495815,15.9190074322253
15,300,215,1.53244332312539,16.0197279123068
15,300,215.625,1.53230345562655,16.1211969504527
15,300,216.25,1.53215945612205,16.2234329433928
15,300,216.875,1.53201122416056,16.3264548468683
15,300,217.5,1.53185865498932,16.430282198492
15,300,218.125,1.53170163935108,16.5349351417714
15,300,218.75,1.53154006326662,16.6404344513717
15,300,219.375,1.53137380780123,16.7468015596977
15,300,220,1.53120274881382,16.8540585848828
15,300,220.625,1.53102675668679,16.9622283602803
15,300,221.25,1.53084569603469,17.0713344655608
15,300,221.875,1.53065942538938,17.1814012595266
15,300,222.5,1.5304677968592,17.292453914767
15,300,223.125,1.53027065575901,17.4045184542873
15,300,223.75,1.53006784020779,17.5176217902585
15,300,224.375,1.52985918068983,17.631791765047
15,300,225,1.5296444995748,17.7470571947019
15,300,225.625,1.52942361059155,17.863447915092
15,300,226.25,1.52919631824913,17.9809948309073
15,300,226.875,1.52896241719789,18.0997299677605
15,300,227.5,1.52872169152187,18.2196865276491
15,300,228.125,1.52847391395218,18.3408989480697
15,300,228.75,1.52821884498929,18.4634029651037
15,300,229.375,1.52795623191946,18.5872356808342
15,300,230,1.52768580770789,18.7124356354934
15,300,230.625,1.52740728974745,18.8390428847846
15,300,231.25,1.52712037843725,18.9670990828774
15,300,231.875,1.52682475556,19.0966475716305
15,300,232.5,1.52652008241993,19.2277334766631
15,300,233.125,1.52620599769417,19.3604038109641
15,300,233.75,1.52588211493974,19.4947075868072
15,300,234.375,1.5255480196837,19.6306959368189
15,300,235,1.5252032660063,19.7684222451268
15,300,235.625,1.52484737250374,19.9079422895912
15,300,236.25,1.52447981748703,20.0493143961802
15,300,236.875,1.52410003323468,20.1925996065748
15,300,237.5,1.52370739906629,20.3378618600483
15,300,238.125,1.52330123293721,20.4851681905177
15,300,238.75,1.52288078116687,20.6345889393288
15,300,239.375,1.5224452057965,20.7861979836909
15,300,240,1.52199356891705,20.9400729795313
15,300,240.625,1.52152481310059,21.0962956155679
15,300,241.25,1.5210377367903,21.2549518720929
15,300,241.875,1.52053096313139,21.4161322724909
15,300,242.5,1.52000290022522,21.5799321065044
15,300,243.125,1.51945169012293,21.7464515894873
15,300,243.75,1.51887514299727,21.9157958976279
15,300,244.375,1.51827065180164,22.0880749792308
15,300,245,1.51763508133207,22.2634029763673
15,300,245.625,1.51696462403728,22.4418969824227
15,300,246.25,1.51625461351012,22.6236746809567
15,300,246.875,1.51549928627489,22.8088501135331
15,300,247.5,1.51469148555933,22.9975263356459
15,300,248.125,1.51382231250778,23.1897829331275
15,300,248.75,1.51288076242774,23.3856551543747
15,300,249.375,1.51185346067167,23.5850996889842
15,300,250,1.5107247825751,23.7879401698996
15,300,250.625,1.50947798634559,23.9937848384659
15,300,251.25,1.50809860384975,24.2019145797004
15,300,251.875,1.50658217579496,24.4111646118138
15,300,252.5,1.50494872563736,24.6198907070176
15,300,253.125,1.50326348139374,24.8262325171149
15,300,253.75,1.5016526776019,25.0289626981908
15,300,254.375,1.50028677147019,25.2288915700561
15,300,255,1.4993085088837,25.4298314021507
15,300,255.625,1.49874233115588,25.6376012031173
15,300,256.25,1.49847410065045,25.8572866467396
15,300,256.875,1.49832525520814,26.0912075185586
15,300,257.5,1.49814225927451,26.3390767858061
15,300,258.125,1.49783438559401,26.5993608953865
15,300,258.75,1.49736550939393,26.8704274631667
15,300,259.375,1.49673182591834,27.1510564928778
15,300,260,1.49594380724409,27.4405218377404
15,300,260.625,1.49501585628614,27.7385046046584
15,300,261.25,1.4939615373199,28.0449793712671
15,300,261.875,1.4927918542291,28.3601218323115
15,300,262.5,1.49151493536617,28.6842452199208
15,300,263.125,1.49013626692589,29.0177600736336
15,300,263.75,1.4886590801666,29.3611502661537
15,300,264.375,1.48708473123243,29.7149596520365
15,300,265,1.48541301895513,30.0797854986748
15,300,265.625,1.48364243059568,30.4562762545886
15,300,266.25,1.48177032186656,30.8451321559639
15,300,266.875,1.47979304195389,31.2471077774474
15,300,267.5,1.47770601396398,31.663016011305
15,300,268.125,1.4755037794062,32.0937331945839
15,300,268.75,1.47318001326054,32.5402052525656
15,300,269.375,1.47072751431164,33.0034548235441
15,300,270,1.46813817387248,33.4845893963712
15,300,270.625,1.46540292474734,33.9848105415247
15,300,271.25,1.46251167123763,34.5054243569323
15,300,271.875,1.45945320010636,35.0478532867179
15,300,272.5,1.45621507162738,35.6136495080121
15,300,273.125,1.45278348910076,36.2045101206019
15,300,273.75,1.44914314446689,36.8222944186153
15,300,274.375,1.44527703685685,37.4690435745589
15,300,275,1.44116626003082,38.1470031257596
15,300,275.625,1.43678975363398,38.8586487235991
15,300,276.25,1.43212401198853,39.6067156890725
15,300,276.875,1.42714274268017,40.3942330165336
15,300,277.5,1.42181646541256,41.2245625836202
15,300,278.125,1.4161120394001,42.1014444619647
15,300,278.75,1.40999210483087,43.0290493829473
15,300,279.375,1.40341442050583,44.0120395974067
15,300,280,1.39633107545489,45.0556395784037
15,300,280.625,1.38868754689657,46.1657182494697
15,300,281.25,1.38042157002678,47.3488846693892
15,300,281.875,1.37146177638468,48.6125993507525
15,300,282.5,1.36172604643194,49.9653035982836
15,300,283.125,1.351119507843,51.4165693594678
15,300,283.75,1.33953209304094,52.9772719684619
15,300,284.375,1.32683554678291,54.6597876322685
15,300,285,1.31287974606529,56.4782162066234
15,300,285.625,1.2974881593115,58.4486271414534
15,300,286.25,1.28045222919239,60.5893214286481
15,300,286.875,1.26152441423914,62.921093245374
15,300,287.5,1.24040957231807,65.4674588753562
15,300,288.125,1.21675432405433,68.2547926085075
15,300,288.75,1.19013401934649,71.3122617675984
15,300,289.375,1.16003699359724,74.6713730835191
15,300,290,1.12584603921244,78.3648107131325
15,300,290.625,1.08681761883055,82.4240342257423
15,300,291.25,1.04206065243918,86.8747792103805
15,300,291.875,0.990519312363622,91.7291420929917
15,300,292.5,0.930969073103838,96.9723828716309
15,300,293.125,0.862043402644722,102.542214829988
15,300,293.75,0.782320414040095,108.298974370209
15,300,294.375,0.690511634974233,113.988457005711
15,300,295,0.585796773452854,119.208072267203
15,300,295.625,0.468311419954267,123.402354857
15,300,296.25,0.33968507665004,125.927318225846
15,300,296.875,0.203359638978931,126.208899812614
15,300,297.5,0.0643408721189238,123.954577760086
15,300,298.125,-0.0717352194291317,119.29644083512
15,300,298.75,-0.199855003334708,112.755094907867
15,300,299.375,-0.316563963652115,105.045276970549
15,300,300,-0.420218925379841,96.8562434119091
15,300,300.625,-0.510671670223421,88.7177827104216
15,300,301.25,-0.588731137991817,80.9689409166003
15,300,301.875,-0.655674944246277,73.7885094847816
15,300,302.5,-0.712913626069099,67.2439486035001
15,300,303.125,-0.761801043093365,61.3350893509476
15,300,303.75,-0.8035471149029,56.0254998251357
15,300,304.375,-0.839190676484734,51.2623757888572
15,300,305,-0.869603055233915,46.9880874208604
15,300,305.625,-0.895504921412766,43.1463503622255
15,300,306.25,-0.917487122429261,39.6851827044174
15,300,306.875,-0.93603103715677,36.5580466445995
15,300,307.5,-0.95152659498149,33.7240211982159
15,300,308.125,-0.964287411965543,31.1474955551644
15,300,308.75,-0.974563096234498,28.7976558987962
15,300,309.375,-0.982549010101154,26.6479117532718
15,300,310,-0.988393834431338,24.6753358515553
15,300,310.625,-0.992205258372843,22.8601515691121
15,300,311.25,-0.994054062964456,21.1852804803024
15,300,311.875,-0.993976802829334,19.6359515274794
15,300,312.5,-0.991977225579482,18.1993680071767
15,300,313.125,-0.988026506725403,16.8644264317643
15,300,313.75,-0.982062318832308,15.6214808330293
15,300,314.375,-0.973986696316873,14.4621464134385
15,300,315,-0.963662600638698,13.3791371756221
15,300,315.625,-0.950909034912308,12.3661330383575
15,300,316.25,-0.935494505192207,11.4176728649494
15,300,316.875,-0.917128586646455,10.5290707393044
15,300,317.5,-0.895451346425792,9.69635370984592
15,300,318.125,-0.870020442120381,8.91622007227424
15,300,318.75,-0.840295934727694,8.18601804995948
15,300,319.375,-0.805623376058368,7.5037453656058
15,300,320,-0.765216815939024,6.86807045566967
15,300,320.625,-0.718145464226647,6.27837546938921
15,300,321.25,-0.663331493922704,5.73481874254567
15,300,321.875,-0.599572654626477,5.23840839257616
15,300,322.5,-0.525612265856316,4.79106634967465
15,300,323.125,-0.44028878515849,4.39564053194419
15,300,323.75,-0.342799472361793,4.05579194343403
15,300,324.375,-0.233089289410077,3.7756543784275
15,300,325,-0.112302495327607,3.55917144016688
15,300,325.625,0.0168883920183286,3.40911406682931
15,300,326.25,0.150348661563574,3.32599437169421
15,300,326.875,0.283107334501679,3.30730764151126
15,300,327.5,0.410369217221957,3.34751592454321
15,300,328.125,0.528442565049456,3.43883222198121
15,300,328.75,0.635180074058885,3.57243695612218
15,300,329.375,0.729885731782813,3.73962349688098
15,300,330,0.812917264149255,3.93256263712618
15,300,330.625,0.885241387208091,4.14464695248041
15,300,331.25,0.948084251957296,4.37053065034957
15,300,331.875,1.00270871203655,4.6060052740419
15,300,332.5,1.05029515890694,4.84781435591581
15,300,333.125,1.0918904747995,5.09346494966304
15,300,333.75,1.12839585131793,5.34106161477911
15,300,334.375,1.16057410093294,5.58917022431097
15,300,335,1.18906514720424,5.83671045558122
15,300,335.625,1.21440368610793,6.08287268424117
15,300,336.25,1.23703613181767,6.32705443025869
15,300,336.875,1.25733565998971,6.56881197670998
15,300,337.5,1.27561502600825,6.80782356485205
15,300,338.125,1.29213723979508,7.04386134847303
15,300,338.75,1.3071243420727,7.27676995613276
15,300,339.375,1.32076457087308,7.50645003984619
15,300,340,1.33321819617852,7.73284559564862
15,300,340.625,1.34462226789539,7.95593414786092
15,300,341.25,1.35509448400787,8.1757191172727
15,300,341.875,1.36473634903498,8.39222386299065
15,300,342.5,1.37363576067197,8.60548701344129
15,300,343.125,1.38186913543933,8.81555879542573
15,300,343.75,1.38950316203239,9.02249813972799
15,300,344.375,1.39659625323495,9.226370393854
15,300,345,1.40319975302106,9.42724551162178
15,300,345.625,1.4093589441506,9.62519661889558
15,300,346.25,1.4151138925869,9.82029887721214
15,300,346.875,1.42050015794543,10.0126285841942
15,300,347.5,1.42554939353214,10.2022624628035
15,300,348.125,1.43028985503716,10.3892771016383
15,300,348.75,1.43474683336803,10.5737485163543
